01/01/2001;segunda-feira;Confraternização Universal
26/02/2001;segunda-feira;Carnaval
27/02/2001;terça-feira;Carnaval
13/04/2001;sexta-feira;Paixão de Cristo
01/05/2001;terça-feira;Dia do Trabalho
14/06/2001;quinta-feira;Corpus Christi
07/09/2001;sexta-feira;Independência do Brasil
12/10/2001;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2001;sexta-feira;Finados
15/11/2001;quinta-feira;Proclamação da República
25/12/2001;terça-feira;Natal
01/01/2002;terça-feira;Confraternização Universal
11/02/2002;segunda-feira;Carnaval
12/02/2002;terça-feira;Carnaval
29/03/2002;sexta-feira;Paixão de Cristo
01/05/2002;quarta-feira;Dia do Trabalho
30/05/2002;quinta-feira;Corpus Christi
15/11/2002;sexta-feira;Proclamação da República
25/12/2002;quarta-feira;Natal
01/01/2003;quarta-feira;Confraternização Universal
03/03/2003;segunda-feira;Carnaval
04/03/2003;terça-feira;Carnaval
18/04/2003;sexta-feira;Paixão de Cristo
21/04/2003;segunda-feira;Tiradentes
01/05/2003;quinta-feira;Dia do Trabalho
19/06/2003;quinta-feira;Corpus Christi
25/12/2003;quinta-feira;Natal
01/01/2004;quinta-feira;Confraternização Universal
23/02/2004;segunda-feira;Carnaval
24/02/2004;terça-feira;Carnaval
09/04/2004;sexta-feira;Paixão de Cristo
21/04/2004;quarta-feira;Tiradentes
10/06/2004;quinta-feira;Corpus Christi
07/09/2004;terça-feira;Independência do Brasil
12/10/2004;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2004;terça-feira;Finados
15/11/2004;segunda-feira;Proclamação da República
07/02/2005;segunda-feira;Carnaval
08/02/2005;terça-feira;Carnaval
25/03/2005;sexta-feira;Paixão de Cristo
21/04/2005;quinta-feira;Tiradentes
26/05/2005;quinta-feira;Corpus Christi
07/09/2005;quarta-feira;Independência do Brasil
12/10/2005;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2005;quarta-feira;Finados
15/11/2005;terça-feira;Proclamação da República
27/02/2006;segunda-feira;Carnaval
28/02/2006;terça-feira;Carnaval
14/04/2006;sexta-feira;Paixão de Cristo
21/04/2006;sexta-feira;Tiradentes
01/05/2006;segunda-feira;Dia do Trabalho
15/06/2006;quinta-feira;Corpus Christi
07/09/2006;quinta-feira;Independência do Brasil
12/10/2006;quinta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2006;quinta-feira;Finados
15/11/2006;quarta-feira;Proclamação da República
25/12/2006;segunda-feira;Natal
01/01/2007;segunda-feira;Confraternização Universal
19/02/2007;segunda-feira;Carnaval
20/02/2007;terça-feira;Carnaval
06/04/2007;sexta-feira;Paixão de Cristo
01/05/2007;terça-feira;Dia do Trabalho
07/06/2007;quinta-feira;Corpus Christi
07/09/2007;sexta-feira;Independência do Brasil
12/10/2007;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2007;sexta-feira;Finados
15/11/2007;quinta-feira;Proclamação da República
25/12/2007;terça-feira;Natal
01/01/2008;terça-feira;Confraternização Universal
04/02/2008;segunda-feira;Carnaval
05/02/2008;terça-feira;Carnaval
21/03/2008;sexta-feira;Paixão de Cristo
21/04/2008;segunda-feira;Tiradentes
01/05/2008;quinta-feira;Dia do Trabalho
22/05/2008;quinta-feira;Corpus Christi
25/12/2008;quinta-feira;Natal
01/01/2009;quinta-feira;Confraternização Universal
23/02/2009;segunda-feira;Carnaval
24/02/2009;terça-feira;Carnaval
10/04/2009;sexta-feira;Paixão de Cristo
21/04/2009;terça-feira;Tiradentes
01/05/2009;sexta-feira;Dia do Trabalho
11/06/2009;quinta-feira;Corpus Christi
07/09/2009;segunda-feira;Independência do Brasil
12/10/2009;segunda-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2009;segunda-feira;Finados
25/12/2009;sexta-feira;Natal
01/01/2010;sexta-feira;Confraternização Universal
15/02/2010;segunda-feira;Carnaval
16/02/2010;terça-feira;Carnaval
02/04/2010;sexta-feira;Paixão de Cristo
21/04/2010;quarta-feira;Tiradentes
03/06/2010;quinta-feira;Corpus Christi
07/09/2010;terça-feira;Independência do Brasil
12/10/2010;terça-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2010;terça-feira;Finados
15/11/2010;segunda-feira;Proclamação da República
07/03/2011;segunda-feira;Carnaval
08/03/2011;terça-feira;Carnaval
21/04/2011;quinta-feira;Paixão de Cristo
22/04/2011;sexta-feira;Tiradentes
23/06/2011;quinta-feira;Corpus Christi
07/09/2011;quarta-feira;Independência do Brasil
12/10/2011;quarta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2011;quarta-feira;Finados
15/11/2011;terça-feira;Proclamação da República
20/02/2012;segunda-feira;Carnaval
21/02/2012;terça-feira;Carnaval
06/04/2012;sexta-feira;Paixão de Cristo
01/05/2012;terça-feira;Dia do Trabalho
07/06/2012;quinta-feira;Corpus Christi
07/09/2012;sexta-feira;Independência do Brasil
12/10/2012;sexta-feira;Nossa Sr.a Aparecida - Padroeira do Brasil
02/11/2012;sexta-feira;Finados
